123	1	0	0	383	128	238	350	287	172	item	3	238	-1	
123	1	0	1	383	128	238	350	287	172	item	4	350	-1	
123	1	0	2	383	128	238	350	287	172	item	6	172	-1	
123	1	0	3	383	128	238	350	287	172	item	2	128	-1	
123	1	0	4	383	128	238	350	287	172	item	5	287	-1	
123	1	0	5	383	128	238	350	287	172	item	1	383	-1	
999	1	0	0	127	371	218	345	163	325	item	2	371	-3	
999	1	0	1	127	371	218	345	163	325	item	4	345	-3	
999	1	0	2	127	371	218	345	163	325	item	5	163	-3	
999	1	0	3	127	371	218	345	163	325	item	3	218	-3	
999	1	0	4	127	371	218	345	163	325	item	6	325	-3	
999	1	0	5	127	371	218	345	163	325	item	1	127	-3	
999	1	1	0	133	41	186	271	84	7	order	3	-3	271	
999	1	1	1	133	41	186	271	84	7	order	6	-6	271	
999	1	1	2	133	41	186	271	84	7	order	2	-2	271	
999	1	1	3	133	41	186	271	84	7	order	1	-1	271	
999	1	1	4	133	41	186	271	84	7	order	4	-4	271	
999	1	1	5	133	41	186	271	84	7	order	5	-5	271	
000	1	0	0	70	46	147	206	245	342	item	4	206	-4	
000	1	0	1	70	46	147	206	245	342	item	2	46	-1	
000	1	0	2	70	46	147	206	245	342	item	6	342	-6	
000	1	0	3	70	46	147	206	245	342	item	3	147	-2	
000	1	0	4	70	46	147	206	245	342	item	1	70	-3	
000	1	0	5	70	46	147	206	245	342	item	5	245	-5	
000	1	1	0	287	182	381	213	160	331	order	1	-1	287	
000	1	1	1	287	182	381	213	160	331	order	3	-3	381	
000	1	1	2	287	182	381	213	160	331	order	2	-2	182	
000	1	1	3	287	182	381	213	160	331	order	5	-5	213	
000	1	1	4	287	182	381	213	160	331	order	6	-6	331	
000	1	1	5	287	182	381	213	160	331	order	4	-4	381	
000	1	2	0	163	349	142	368	234	353	item	2	349	-2	
000	1	2	1	163	349	142	368	234	353	item	3	142	-3	
000	1	2	2	163	349	142	368	234	353	item	4	368	-4	
000	1	2	3	163	349	142	368	234	353	item	5	234	-5	
