999	0	378	96	141	29	138	order	3	-3	335	
999	1	383	15	307	191	168	item	3	307	-3	
999	2	351	108	203	51	117	order	5	-5	99	
999	3	266	282	169	253	147	order	5	-5	321	
999	4	53	127	337	91	37	order	1	-1	53	
999	5	157	86	210	346	119	item	1	157	-3	
999	6	192	363	314	264	233	order	4	-4	180	
999	7	69	275	80	292	213	item	4	292	-3	
999	8	211	136	36	5	190	item	3	36	-3	
999	9	46	81	16	200	187	order	5	-5	81	
999	10	198	268	72	82	196	order	1	-1	162	
999	11	355	291	263	208	95	item	2	291	-3	
999	12	34	299	118	149	177	order	5	-5	27	
999	13	90	64	38	276	248	item	2	64	-3	
999	14	66	60	160	133	344	order	4	-4	31	
999	15	308	392	389	294	12	order	4	-4	219	
999	16	62	23	359	112	89	order	1	-1	89	
999	17	156	332	176	231	96	item	1	156	-3	
999	18	307	230	178	221	172	item	5	172	-3	
999	19	368	257	284	379	28	item	1	368	-3	
999	20	92	134	299	258	6	order	5	-5	326	
999	21	39	67	298	153	155	order	1	-1	67	
999	22	19	318	89	30	260	item	3	89	-3	
999	23	367	24	81	204	263	item	3	81	-3	
999	24	250	43	119	150	14	order	5	-5	179	
999	25	15	7	1	22	344	order	3	-3	7	
999	26	323	249	149	295	50	item	1	323	-3	
999	27	4	109	131	49	377	order	4	-4	306	
999	28	98	217	158	274	17	item	1	98	-3	
999	29	391	61	76	216	175	order	1	-1	122	
999	30	84	189	56	365	35	order	3	-3	203	
999	31	170	40	48	188	129	item	2	40	-3	
999	32	52	242	44	331	273	item	3	44	-3	
999	33	335	383	267	395	370	item	5	370	-3	
999	34	164	151	278	74	385	order	2	-2	374	
999	35	29	241	186	41	327	order	5	-5	355	
999	36	177	20	372	55	236	item	3	372	-3	
999	37	130	210	214	227	8	order	2	-2	8	
999	38	393	58	375	87	103	order	1	-1	330	
999	39	169	31	207	168	64	item	2	31	-3	
999	40	137	107	373	190	360	item	5	360	-3	
999	41	121	211	294	42	9	item	3	294	-3	
999	42	317	125	215	3	256	order	4	-4	225	
999	43	62	159	272	82	25	item	5	25	-3	
999	44	148	293	154	320	264	order	3	-3	63	
999	45	396	246	205	362	270	item	1	396	-3	
999	46	182	305	117	88	302	order	1	-1	389	
999	47	349	139	218	399	288	item	5	288	-3	
999	48	290	90	275	282	127	order	5	-5	173	
999	49	308	297	47	57	126	item	2	297	-3	
999	50	280	18	346	324	162	order	4	-4	255	
999	51	13	200	78	348	12	item	3	78	-3	
999	52	16	113	11	83	75	item	3	11	-3	
999	53	34	79	5	245	384	order	5	-5	261	
999	54	192	108	300	321	366	item	1	192	-3	
999	55	269	353	378	333	32	item	4	333	-3	
999	56	141	388	228	110	209	item	2	388	-3	
999	57	0	2	86	312	283	item	4	312	-3	
999	58	339	220	397	341	315	order	2	-2	341	
999	59	393	341	17	9	54	item	5	54	-3	
999	60	279	40	284	224	65	item	5	65	-3	
999	61	91	257	14	376	303	item	2	257	-3	
999	62	270	325	306	342	333	item	3	306	-3	
999	63	292	126	121	128	144	order	2	-2	121	
999	64	295	276	136	189	274	item	2	276	-3	
999	65	327	170	155	32	326	item	4	32	-3	
999	66	288	31	323	83	59	item	1	288	-3	
999	67	369	112	18	71	204	item	4	71	-3	
999	68	22	388	336	305	366	order	2	-2	265	
999	69	360	223	177	53	386	item	2	223	-3	
999	70	259	355	113	281	157	item	5	157	-3	
999	71	46	15	351	127	77	item	3	351	-3	
999	72	80	11	198	363	314	order	5	-5	390	
999	73	291	304	195	20	374	order	1	-1	173	
999	74	150	289	82	172	57	order	4	-4	335	
